<h2>Functional Enquiries</h2>

<h3>General questions</h3>
Appetite - Have you been eating well?	胃口好不好	wèi kôu hâo bù hâo	Ada selera makan?	Yau mou wai how?	Wi kao ho bo?
Weight - Have you lost or gained weight lately?	最近肥了还是瘦了	zuì jìn féi lè hái shì shòu lè 	Berat badan ada turun (lost) / naik (gained)?	Yau mou sau di / fei di?	Ler wu ga san bo / pui bo?
General well-being - How are you feeling?	你感觉怎样	nî gân jué zên yãng	Ada baik?	Hou ma? Gok tak dim yong?	Ler ho bo?
Fatigue - Do you feel tired?	感到疲倦吗？	gân dão pí juãn mä 	Ada rasa penat?	Yau mou gooi?	Ler eh sian bue / bo lat bue?
Fever - Have you got a fever?	发烧吗？	fä shäo mä 	Ada demam?	Yau mou fatt siew?	Wu huat sioh bo?
Chills - Do you feel cold?	发冷吗？	fä lêng mä 	Ada rasa sejuk?	Yau mou fatt lung?	Ler eh leng bue?
Sweats - Do you sweat excessively?	出很多汗吗？	chð hên duö hãn mä 	Ada berpeluh banyak?	Chut hon dor mm dor?	Ler wu di di lau knua bo?
Rash - Have you had any rash recently?	你最近有没有发现红斑？	nî zuì jìn yôu méi yôu fä xiãn hóng bän	Baru-baru ini ada ruam?	Yau mou sang yit fei?	Gun lai peh hu eh ang ang bue?
Does it itch? Do you scratch?	会痒吗？	huì yâng mä 	Ada rasa gatal?	Yau mou han?	Eh jniu bue? Wu bei bo?
Lumps and bumps - Have you noticed any lumps and bumps?	有肿吗？哪里?	yôu zhông mä? ná lî?	Ada perasan benjol di badan?	Yau mou bin dou zong / sang lau?	Ler wu doh loh zeng ki lai bo?
Do you sleep well?	睡眠好吗？	shuì mián hâo mä 	Adakah kamu tidur nyenyak?	Fan gao hou mm hou?	Ho kun bo?

<h3>Pain</h3>
Site - Where is the pain?	哪里痛？	ná lî tòng	Di mana sakit?	Bin dou tong?	Doh loh tnia?
Do you have a headache?	你头痛吗？	nî tóu tòng mä 	kamu ada sakit kepala?	Lei you mou tao tong?	Ler tao tnia bo?
...ear pain	耳朵痛	êr duö tòng	telinga kamu sakit kah?	Yee zai tong?	Hee kang tnia?
...sore throat	喉咙痛	hóu lóng tòng	kamu ada sakit tekak?	How loong tong?	Ao lin tnia?
...chest pain	胸口痛	xiöng kôu tòng	…sakit di bahagian dada?	Sum how tong?	Heng kau tnia?
...abdominal pain	腹痛	fù tòng	…sakit di bahagian abdomen?	Toll tong?	Pud dor tnia?
…stomach pain	肚子痛	dù zî tòng	…sakit perut?	Wai tong?	Pud dor tnia?
...back pain	背痛	bèi tòng	kamu ada sakit belakang?	Bui tong?	Ga jia tnia?
...hip pain	臀部痛	tún bù tòng	pinggul kamu sakit kah?	Yew tong?	Yeoh tnia?
...shoulder pain	肩膀痛	jiän bâng tòng	bahu kamu sakit kah?	Bok tau tong?	Knwee jia tao tnia?
...pain in the wrist	手腕痛	shôu wân tòng	…sakit di pergelangan tangan?	Sow wun tong?	Qiu wah tnia?
...pain in the knees	膝盖痛	xï gãi tòng	…sakit di lutut?	Sat tao gor tong?	Kah tau hu tnia?
...pain in the ankle	脚踝通	jiâo huái tòng	…sakit di pergelangan kaki?	Geok zhang tong?	Kah bak tnia?
Radiation - Does it hurt anywhere else?	其他地方痛吗?	qí tä dì fäng tòng mä 	adakah kesakitan itu merebak ke bahagian lain?	Zong yau bin dou tong ma?	Pud wee wu tnia bo?
Severity - Does it interfere with your activity?	有没有干扰你的日常生活？	yôu méi yôu gän râo nî dè rì cháng shëng huó? 	Susah nak buat kerja?	Zou ye yau mou kuan nan?	Li eh sai zo talit zo eh mi kia bue?
Does it keep you awake at night?	会不会痛到不能睡？	huì bú huì tòng dão bù néng shuì	Malam boleh tidur?	Ye man tong, fan tak ma?	An meh tnia hor, kun eh loh bue?
Timing - When does it come? / When does it go?	什么时候痛？什么时候不痛?	shên mè shí hòu tòng? shên mè shí hòu bù tòng?	Bila rasa sakit? Bila sakitnya hilang?	Gei sih tong? Gei sih mm tong?	Tnia di si lai / ki?
...in the morning?	早上	zâo shãng	pada masa pagi?	Jiu zou?	Zhar ki?
...in the evening?	傍晚	bãng wân	pada masa petang?	Pong man	Mi si / Arnh meh?
...at night?	晚上	wân shãng	pada masa malam?	Ye man?	Mi si / Arnh meh?
...before food?	饭前	fãn qián	sebelum makan?	Fan chin?	Jiah bah zeng?
...after food?	饭后	fãn hòu	selepas makan?	Fan how?	Jiah bah liaw?
...when walking?	走路的时候	zôu lù dè shí hòu	semasa berjalan?	Hang lou geh si hao?	Knia eh si kan?
...while standing?	站着的时候	zhãn zhè dè shí hòu	semasa berdiri?	Kei zi geh si hao?	Kia eh si kan?
...while sitting?	坐着的时候	zuò zhè dè shí hòu	semasa duduk?	Chor zi geh si hao?	Zje eh si gan?
...while moving?	动的时候	dòng dè shí hòu	semasa bergerak?	York geh si hao?	Din dang eh si kan?
…when lifting?	当抬东西的时候	däng tái döng xï dè shí hòu	semasa mengangkat barang?	Tam yeh si hao?	Gng mi kia eh si kan?
...after exercise/effort?	运动过后	yùn dòng guò hòu	semasa bersenam/bersukan?	Zhou wan dong gor hao?	Wun dong liao?
When did the pain start?	疼痛是什么时候开始的？	téng tòng shì shén mè shí hòu käi shî dè	bilakah kesakitan itu bermula?	Lei ge tong gei si hoi chi?	Tnia di si kai si?
How long have you had it?	已经痛多久了？	yî jïng tòng duö jîu lè	sudah berapa lamakah kamu mengalaminya?	Tung jaw gei loi?	Tnia lua ku liaw?
