<h2>Glossary - Parts of The Body</h2>

<h3>Head And Neck</h3>
Head	头	tóu	Kepala	Tau	Tao
Hair	头发	tóu fâ	Rambut	Tau Fatt	Tao Mng
Face	脸	liân	Muka	Min	Bin
Ear	耳朵	êr duö 	Telinga	Yee Zai	Hih Kang
Eye	眼睛	yiân jïng	Mata	Ngan	Bud Zhiu
Nose	鼻子	bí zî	Hidung	Bei	Pnee
Throat	喉咙	hóu lóng	Tekak	How Loong	Ao Leng

Mouth 	口	kôu	Mulut	How	Chui
Lips	唇	chún	Bibir	Suon	Chui Tun
Gums	牙龈	yá yín	Gusi	Nga Yoik	Chui Ki Bah
Tongue	舌头	shé tóu	Lidah	Lei	Ji
Teeth	牙齿	yá chî	Gigi	Nga Chee	Chui Ki

Neck	颈项	jîn xiãng	Leher	Gang	Ang Kun
Shoulder	肩膀	jiän bâng	Bahu	Bok Tau	Knwee Jia Tao

<h3>Trunk</h3>
Body	身体	shën tî 	Badan	Sun Tai	Seng Gu
Skin	皮肤	pí fð	Kulit	Pei Foo	Peh Hu
Chest	胸口	xiöng kôu	Dada	Sum How	Heng Bor
Breast	乳房	rû fáng	Buah Dada	Hoong / Yu Fong	Heng Bor
Abdomen	腹	fù	Perut (stomach) / Abdomen	Foo	Pud Dor
Groin	下阴	xiã yïn	-	Har Sun	-
Back	背	bèi	Belakang	Bui	Ga Jia
Spine	脊椎骨	jï duï gû 	Tulang Belakang	Bui Jet Guet	Ga Jia Kuh
Sexual Organs	性器官	xìng qì guän	Alat Kelamin	Sing Hei Goon	-
Testes	睾丸	gäo wán	Buah Zakar / Testis	Goh Yuen	Lan Par
Penis	子孙根	zî sðn gën	Penis / Zakar	Yum Geng	Lan Jiao

<h3>Limbs</h3>
Arm	手臂	shôu bì 	Lengan	Sow Bei	Qiu
Forearm	手	shôu	Tangan	Chin Bei	Qiu
Hand	手掌	shôu zhâng	Tangan	Sow Zheung	Qiu
Fingers	手指	shôu zhî 	Jari	Sow Jee	Qiu Zhai
Nails	指甲	zhî jiã	Kuku	Jee Garb	Zng Ga
Elbow	肘子	zhôu zî 	Siku	Sow Zhang	Qiu Wan
Wrist	手腕	shôu wân	Pergelangan tangan	Sow Wun	Qiu Wah
Small Joints of the Hand	小手关节	xiâo shôu guän jié 	Sendi Jari	Sow Guan Jit	-

Buttocks	屁股	pì gû 	Punggung	Pei Gu	Ka Chng
Thighs	大腿	dã tuî	Peha	Dai Bei	Toa Tui
Calf	小腿	xiáo tuî 	Betis	Sai Bei	Seow Tui
Foot	脚板	jiâo bân	Kaki	Geork	Kar
Toes	脚趾	jiâo zhî 	Jaru Kaki	Geork Jee	Kar Zhai

<h3>Natural Openings</h3>
Nostrils	鼻孔	bí kông	Lubang Hidung	Bei Gor Loong	Pnee Kang
Mouth	口	kôu	Mulut	How	Chui
Anus	肛门	gäng mén	Anus / Lubang Dubur	Gong Mun	Ka Chng
Urethral Opening	尿道	nião dão	Lubang Kencing	Liu Dou	-
Vaginal Opening	阴道	yïn dão	-	Yum Dou	-

<h3>Internal Organs</h3>
Brain	脑	nâo	Otak	Nou	Tao Nao
Heart	心	xïn	Jantung	Sum Jong	Xim
Trachea	气管	qì guân	Kerongkong	Hei Goong	Ki Guan
Lungs	肺	fèi	Paru-paru	Fai	Hwee
Kidney	肾	shèn	Buah Pinggang	Sun Jong	Yeo Ji
Liver	肝	gän	Hati	Gone Jong	Knua
Spleen	脾	pî 	Limpa	Pei Jong	Pi

Oesophagus	食道	shí dão	Esofagus	Sek Dou	Aw Leng
Stomach	胃	wèi	Perut	Wai	Wee
Intestines	肠	cháng	Usus	Cheong	Tng

Bladder	膀胱	páng guän	Pundi Kencing	Pong Gong	Dio Peh

Vagina	阴道	yïn dão	Vagina / Faraj	Har Sun	Jui Kiong
Uterus	子宫	zî göng	Rahim	Jee Gong	-
Ovary	卵巢	luân cháo	Ovari	Lun Cao	-

<h3>Bones</h3>
Bone	骨头	gû tóu	Tulang	Guat	Kuh
Skull	头骨	tóu gû	Tengkorak	Tau Guat	Tao Kuh
Pelvic Bone	盘骨	pán gû 	Tulang Sulbi / Pelvis	Poon Guat	Ka Chng Kuh
Ribs	排骨	pái gû	Tulang Rusuk	Pai Guat	Pai Kuh
Bone Marrow	骨髓	gû súi	Sum-sum tulang	Guat Sum	Kuh Ceh

<h3>Tissues</h3>
Fat	脂肪	zhï fáng	Lemak	Ji Fong	Pui Bah
Muscle	肌肉	jï ròu	Otot	Gay Yoke	Bah
Nerves	神经线	shén jïng xiãn	Saraf	Sun Gang Sin	Guun / Seng Geng Snua
Blood vessel	血管	xuè guân	Saluran Darah	Huit Goon	Huit Guan

<h3>Body Fluids</h3>
Blood	血	xiê 	Darah	Huit	Huit
Pus	脓	nóng	Nanah	Noong	Lang
Mucus	鼻涕	bí tì 	Lendir	Bay Thai	Pnee Zhui
Phlegm	痰	tán	Kahak	Tam	Tam
Stools	大便	dã biãn	Tahi	See	Sai
Urine	小便	xiâo biãn	Kencing	Liu	Dio
