Glossary - Medical Terms

Symptoms
Dizzy / Drowsy	头晕	tóu yðn	Pening / Mabuk	Tau Wan	Hin
Headache	头痛	tóu tòng	Sakit Kepala	Tau Tung	Tao Tnia
Blackout	晕倒	yðn dâo	Pitam / Pengsan	Wan Dei	Or Am

Stomachache	肚子痛	dù zî tòng	Sakit Perut	Wei Tung	Pud Dor Tnia
Diarrhoea	拉肚子	lä dù zî	Cirit Birit	Or Tou	Lao Sai
Constipation	便秘	biãn mì	Sembelit	Bin Bay	Pang Sai Pang Bue Chut
Vomitting	呕吐	ôu tù	Muntah	Aw Tou	Tor

Rashes	斑点	bän diân	Ruam / Gatal	Barn Dim	Hong Mor
Swollen	肿	zhông	Bengkak	Zhung	Zeng
Inflammation	发炎	fä yán	Bengkak	Fatt Yim	Huad Yam

Cough	咳嗽	ké sòu	Batuk	Katt	Ga Sau
Cramps	抽筋	chöu jïn	Otot Kejang	Chou Gan	Kiu Guun
Fracture	骨折	gû zhé	Patah Tulang	Guit Jit	Kuut Ji
General Fatigue	累	lèi	Letih / Penat	Gui	Xian
Nausea	作呕	zuò ôu	Senak / Macam Nak Muntah	Zork Ow	Ai Tor
Unconscious	失去知觉	shï qù zhï jué	Pengsan	Sart Hoi Jee Kok	Hin Toh
Dyspnoea	呼吸困难	hð xï kùn nán	Sesak Nafas	Foo Kup Kuan Nan	Chuan

Joint Pain	关节痛	guän jié tòng	Sengal	Guan Jit Tung	Kuh Tnia
Sharp Pain	尖锐的痛	jiän ruì dè tòng	Pedih	Zim Tung	Jin Jiam Eh Tnia
Pricking Pain	刺痛	cì tòng	-	Gut Tung	Zam Tuh Eh Tnia

Specific Ailments
Asthma	哮喘	xião chuân	Asma / Lelah	How Chun	Hei Goo
Cancer	癌症	ái zhèng	Cancer / Barah	Arm Cheng	Gam Zeng / Cancer
Chickenpox	水豆	shuî dòu	Cacar	Chut Sui Dow	Chut Zhui Dao
Diabetes	糖尿病	táng nião bìng	Kencing Manis	Tong New Bang	Dnee Dio
Heart Attack	心脏病	xïn zãng bìng	Sakit Jantung	Sum Zong Bang	Xim Zhong Pnee
Hypertension	高血压	gäo xuè yä	Darah Tinggi	Huit Ngak Go	Huit Gnuai
Leprosy	麻风	má fëng	Kusta	Ma Foong	Tai Koh
Leukaemia	血癌	xuè ái	Leukaemia / Darah Putih	Bak Huit Bang	Huit Ai
Measles	出麻	chð má 	Demam Campak	Chut Ma	Chut Piah
Mumps	腮腺炎	säi xiãn yán	Beguk	Dai Gang Pow	Sne Hoon Ai / Tde Tow Peh 
Stroke	中风	zhòng fëng	Angin Ahmar / Strok	Zhung Foong	Diong Hong
Tuberculosis	肺痨	fèi láo	TB / Batuk Kering	Fai Low	Hwee Low

Medical Procedures
Change Dressings	换纱布	huãn shä bù	Tukar Balutan	Wound Sa Bow	Wah Suah Bor
Stitch	缝针	féng zhën	Jahitan	Fong Zum	Tnee Zam
Remove Stitch	拆线	chäi xiãn	Buka Jahitan	Cak Sin	Tiah Snua
Operation	开刀	käi däo	Pembedahan	Hoi Dou	Kui Doh
Operate	开刀	käi däo	Dibedah	Hoi Dou	Kui Doh
Amputate	截肢	jié zhï 	Potong / Kudung	Jit Ji	Kua Ka (leg) / Kua Chiu (arm)
Draining	排水	pái shuî	Keluarkan	Pai Soi	Tiu Jwee
Injection	打针	dâ zhën	Injection / Suntikan	Da Zum	Pa Zam
Medicate	吃药	chï yão	Ubati	Sek York	Zia Yeoh
Transfusion	输血	shð xiê	Pemindahan Darah	She Huit	Jip Hue
Draw Blood	抽血	chöu xiê	Ambil Darah	Chow Huit	Tiu Hue
Dialysis	洗肾	xî shèn	Dialysis	Sai Son	Shue Hui
Transplant	换肾/心	huãn shèn / xïn	Pemindahan Organ	Yi Chek Sun / Sum (kidney/heart)	Wah ___(organ)
